N,P,K,soil_moisture,temperature,humidity,ph,rainfall,soil_type,season,label
118.8,30.83,55.96,41.73,18.41,57.4,6.49,549.53,volcanic,season_a,sweet_potato
103.25,38.77,118.36,69.41,19.98,66.6,6.0,708.81,sandy,season_a,sweet_potato
109.03,27.37,101.27,58.05,28.27,58.4,5.62,904.07,volcanic,season_b,sweet_potato
116.71,53.61,44.78,45.76,25.51,65.3,5.98,732.11,sandy,season_a,sweet_potato
47.81,39.58,56.08,58.78,27.25,56.2,6.74,713.17,volcanic,season_b,sweet_potato
97.1,69.53,117.24,38.3,28.68,64.1,5.82,843.19,loam,season_a,sweet_potato
120.82,34.33,64.89,65.53,28.95,64.6,6.58,955.82,sandy,season_a,sweet_potato
75.94,69.18,77.46,54.46,25.19,66.2,5.48,1086.69,loam,season_a,sweet_potato
94.59,45.52,107.78,55.85,25.8,60.2,6.72,606.99,loam,season_b,sweet_potato
39.66,24.11,70.93,42.0,23.1,68.9,5.96,1276.46,loam,season_a,sweet_potato
62.04,49.48,80.62,71.03,24.71,71.5,5.92,1124.17,sandy,season_a,sweet_potato
65.04,44.74,57.63,57.51,30.39,80.7,6.37,994.29,volcanic,season_a,sweet_potato
81.15,71.0,132.09,62.87,24.63,59.0,5.54,1153.27,volcanic,season_b,sweet_potato
87.54,70.56,102.27,62.29,22.39,81.9,6.68,816.71,loam,season_b,sweet_potato
66.23,50.96,95.04,57.94,19.29,85.0,6.85,1125.58,loam,season_b,sweet_potato
62.59,27.43,41.03,76.1,27.02,80.8,5.7,1062.78,sandy,season_b,sweet_potato
53.07,51.0,58.82,35.85,30.15,79.3,5.97,668.14,sandy,season_b,sweet_potato
93.43,78.65,60.75,51.48,23.39,56.1,6.54,922.62,loam,season_a,sweet_potato
99.57,34.01,88.49,67.31,30.85,75.2,6.16,1198.18,loam,season_b,sweet_potato
62.18,48.32,109.28,64.73,25.85,82.4,6.99,1252.79,sandy,season_a,sweet_potato
56.0,34.06,122.44,51.56,30.57,66.2,6.31,813.47,sandy,season_a,sweet_potato
41.44,57.74,93.1,60.21,24.6,60.8,5.44,1032.14,loam,season_b,sweet_potato
109.99,81.36,39.88,75.22,14.73,84.6,7.6,990.35,volcanic,season_a,wheat
153.63,45.17,40.55,52.65,22.65,64.4,5.98,649.97,loam,season_a,wheat
127.08,44.15,73.23,65.61,12.7,68.0,6.63,637.95,loam,season_a,wheat
62.94,61.95,73.29,73.7,22.64,77.7,6.82,362.61,silt,season_a,wheat
94.6,77.49,51.28,45.98,17.04,64.2,5.99,437.86,loam,season_a,wheat
141.14,64.47,52.48,68.75,22.75,65.3,7.45,601.53,silt,season_a,wheat
171.62,84.09,54.44,47.72,20.27,58.9,7.26,733.12,loam,season_a,wheat
107.62,66.99,38.53,68.42,14.17,71.0,5.96,933.22,loam,season_a,wheat
134.25,37.72,68.8,55.09,15.61,71.4,6.71,493.93,volcanic,season_a,wheat
97.09,69.31,69.36,49.22,18.52,59.1,7.46,418.98,volcanic,season_a,wheat
99.84,73.21,59.9,60.66,20.22,79.9,7.57,600.84,volcanic,season_a,wheat
88.48,62.23,79.04,62.96,16.78,62.0,5.9,460.46,silt,season_a,wheat
79.58,36.39,60.67,65.55,11.26,62.7,6.17,991.66,loam,season_a,wheat
116.68,41.43,44.91,44.14,14.57,79.0,6.42,799.52,silt,season_a,wheat
74.5,43.22,66.83,52.53,21.58,83.7,6.35,796.66,loam,season_a,wheat
83.47,54.28,86.63,49.29,15.35,80.5,7.4,771.45,silt,season_a,wheat
85.9,70.51,82.34,67.49,12.4,82.3,6.72,710.99,loam,season_a,wheat
130.33,72.95,65.17,68.01,21.41,76.8,7.43,666.17,silt,season_a,wheat
164.65,56.58,34.85,63.08,9.98,81.0,6.8,832.87,silt,season_a,wheat
164.35,67.88,52.5,58.17,19.33,57.9,7.03,543.76,volcanic,season_a,wheat
87.4,75.15,78.19,60.77,11.34,83.0,6.76,658.97,silt,season_a,wheat
71.02,59.52,45.08,74.43,10.53,61.7,7.06,612.32,silt,season_a,wheat
116.2,73.98,57.59,67.84,16.39,58.6,6.75,755.06,loam,season_a,wheat
111.87,62.65,36.81,45.64,18.21,73.6,6.41,679.35,loam,season_a,wheat
171.88,52.13,34.33,47.53,16.34,71.8,7.01,657.59,loam,season_a,wheat
140.04,42.09,72.03,49.43,15.16,79.9,7.56,566.42,volcanic,season_a,wheat
138.75,38.92,44.42,47.07,19.52,76.6,6.07,732.86,volcanic,season_a,wheat
169.56,53.83,57.53,67.63,20.12,58.2,6.57,951.45,loam,season_a,wheat
151.35,57.15,69.13,73.92,11.74,70.0,6.82,382.47,volcanic,season_a,wheat
168.89,76.19,83.63,64.41,12.3,79.5,5.89,777.07,silt,season_a,wheat
120.47,53.36,87.62,72.47,20.78,63.2,7.75,979.88,volcanic,season_a,wheat
78.32,65.91,82.26,57.94,21.94,71.4,6.35,828.46,silt,season_a,wheat
85.54,67.15,47.94,51.93,19.48,84.4,7.07,972.0,volcanic,season_a,wheat
144.23,75.02,63.59,60.48,23.37,76.3,7.13,930.23,volcanic,season_a,wheat
57.76,40.98,19.49,34.73,25.45,61.0,7.29,354.11,sandy,season_b,chickpea
23.59,24.76,49.9,38.92,23.48,65.8,6.67,572.14,sandy,season_b,chickpea
27.82,49.89,50.4,41.34,24.91,82.8,6.55,710.42,loam,season_b,chickpea
11.95,29.26,45.21,57.61,28.33,79.9,7.64,628.13,sandy,season_c,chickpea
52.81,56.16,32.84,38.15,25.12,60.6,6.18,530.62,sandy,season_c,chickpea
36.68,41.97,27.13,49.94,20.16,64.9,7.11,384.85,sandy,season_c,chickpea
45.58,51.82,45.42,59.85,20.14,78.7,6.86,309.73,loam,season_b,chickpea
61.2,40.72,49.96,37.62,23.5,67.1,6.49,680.66,sandy,season_c,chickpea
33.54,30.2,48.79,48.38,28.76,79.7,7.59,325.57,sandy,season_b,chickpea
25.04,46.15,58.08,38.28,16.37,81.6,6.49,674.29,sandy,season_b,chickpea
28.71,47.79,23.46,47.99,26.14,70.4,6.77,519.64,loam,season_b,chickpea
31.66,25.47,25.94,61.18,26.17,71.0,6.97,407.58,sandy,season_c,chickpea
59.33,27.28,54.2,61.13,26.48,68.1,7.43,309.35,loam,season_b,chickpea
38.11,34.14,25.65,34.57,26.41,71.7,6.88,414.42,loam,season_c,chickpea
34.8,44.53,37.67,33.49,25.01,71.0,7.0,573.05,sandy,season_b,chickpea
31.8,40.12,30.92,54.19,24.53,63.4,7.67,465.23,loam,season_c,chickpea
24.05,30.25,48.59,56.11,27.05,63.8,6.98,443.01,loam,season_b,chickpea
42.48,41.92,26.89,33.15,24.12,71.1,7.53,445.7,sandy,season_c,chickpea
34.97,46.3,40.54,35.29,18.98,80.0,6.09,364.4,sandy,season_c,chickpea
46.71,25.15,45.97,40.27,19.49,72.4,7.54,467.0,loam,season_b,chickpea
30.03,25.03,29.33,47.09,21.01,74.8,7.09,383.87,loam,season_c,chickpea
66.42,25.69,31.93,57.78,26.06,74.2,6.27,454.18,sandy,season_b,chickpea
38.28,35.08,33.23,49.0,19.24,73.2,7.34,670.64,sandy,season_b,chickpea
29.01,53.44,25.26,35.19,17.42,70.2,5.93,558.25,loam,season_c,chickpea
63.4,42.23,41.88,65.45,22.6,78.3,6.46,385.55,sandy,season_c,chickpea
38.36,40.36,36.41,47.56,24.89,80.4,7.28,571.3,sandy,season_c,chickpea
37.5,28.83,55.62,52.12,28.43,77.1,6.72,467.67,loam,season_c,chickpea
24.55,29.82,28.51,53.57,23.26,78.7,6.51,735.62,loam,season_b,chickpea
67.68,32.4,48.8,48.27,27.75,80.0,6.24,547.35,loam,season_c,chickpea
48.85,34.18,46.62,59.58,23.24,66.3,7.63,533.25,loam,season_b,chickpea
39.24,39.23,44.5,47.57,17.8,60.0,5.84,597.31,sandy,season_b,chickpea
21.97,34.05,49.39,33.76,19.12,79.3,7.23,515.68,loam,season_c,chickpea
23.34,25.37,54.4,30.31,16.42,72.2,6.02,590.29,sandy,season_b,chickpea
14.42,29.56,26.18,64.0,24.43,71.9,5.71,635.65,loam,season_c,chickpea
128.64,43.68,99.2,51.47,22.74,61.6,6.06,494.2,sandy,season_b,grapes
98.58,60.5,66.87,57.88,27.9,72.9,5.5,643.49,sandy,season_b,grapes
56.35,61.05,118.49,57.85,26.79,73.2,5.69,886.35,loam,season_b,grapes
122.64,61.81,111.81,37.85,25.3,82.1,6.33,412.69,sandy,season_b,grapes
91.53,53.99,58.22,53.36,19.86,79.1,6.75,644.89,sandy,season_b,grapes
84.81,48.61,108.5,64.39,18.17,72.9,6.33,587.62,sandy,season_b,grapes
96.74,37.99,47.42,58.06,25.7,64.5,5.95,501.15,loam,season_b,grapes
73.39,61.68,94.5,55.74,28.7,66.9,5.73,724.18,sandy,season_b,grapes
67.64,62.74,88.87,66.67,23.9,78.2,6.07,532.06,sandy,season_b,grapes
111.41,56.92,107.22,40.32,18.89,67.0,5.9,729.13,sandy,season_b,grapes
66.39,81.56,55.57,40.64,18.89,82.8,6.14,497.73,sandy,season_b,grapes
60.77,38.55,81.95,66.55,24.32,70.6,6.62,745.23,loam,season_b,grapes
84.73,42.82,103.55,63.44,19.92,56.0,6.46,709.11,loam,season_b,grapes
102.11,53.49,100.79,66.29,18.21,63.3,6.08,778.72,loam,season_b,grapes
91.23,70.99,59.98,40.61,20.5,79.9,6.97,629.52,volcanic,season_b,grapes
99.19,42.4,127.13,55.2,19.56,67.2,5.4,453.69,volcanic,season_b,grapes
121.11,74.06,121.79,63.41,26.63,72.2,6.59,916.25,volcanic,season_b,grapes
108.79,71.95,122.1,51.31,22.54,72.6,5.43,521.95,sandy,season_b,grapes
101.55,88.47,105.29,42.78,20.35,83.7,6.29,417.6,loam,season_b,grapes
75.2,55.31,107.32,47.92,23.63,60.4,5.93,569.41,volcanic,season_b,grapes
67.92,71.42,119.95,43.51,25.75,62.0,5.8,591.15,sandy,season_b,grapes
118.94,79.37,77.56,62.54,17.53,57.4,7.23,695.77,loam,season_b,grapes
114.22,54.02,77.15,64.05,27.42,72.2,5.86,552.85,loam,season_b,grapes
82.89,71.61,64.13,53.25,22.11,83.2,5.44,629.14,sandy,season_b,grapes
86.3,38.13,91.57,45.86,15.92,75.2,5.99,470.03,sandy,season_b,grapes
68.23,49.0,73.95,65.8,21.18,60.5,6.12,662.46,volcanic,season_b,grapes
114.66,49.77,67.72,41.8,23.88,61.9,5.55,593.26,volcanic,season_b,grapes
120.79,42.49,115.92,61.09,22.61,55.3,6.08,489.46,loam,season_b,grapes
114.65,48.48,95.37,54.94,21.54,75.7,5.3,880.76,sandy,season_b,grapes
85.67,50.48,77.99,54.67,29.22,62.7,5.21,481.83,volcanic,season_b,grapes
96.64,68.63,93.32,69.76,19.9,64.8,6.27,858.25,sandy,season_b,grapes
79.72,47.7,101.38,39.71,18.21,79.2,5.9,775.61,volcanic,season_b,grapes
120.15,35.31,60.8,42.72,20.36,63.7,5.75,783.32,sandy,season_b,grapes
114.28,85.27,111.42,53.25,22.28,60.0,7.02,484.02,volcanic,season_b,grapes
159.4,71.56,51.62,45.51,11.28,56.9,7.07,884.87,loam,season_b,apple
116.95,83.02,63.24,60.92,12.18,82.9,6.06,693.03,loam,season_b,apple
110.38,42.67,102.48,47.95,11.61,65.7,6.97,1061.26,volcanic,season_b,apple
119.89,38.98,151.67,58.91,18.31,68.7,6.79,1121.65,silt,season_b,apple
148.2,59.15,74.68,45.6,14.77,67.4,5.65,566.12,silt,season_b,apple
102.32,58.57,54.37,69.74,22.18,69.3,5.4,809.65,volcanic,season_a,apple
144.91,62.78,64.12,71.26,16.09,62.5,6.71,955.11,silt,season_a,apple
95.75,56.39,75.83,65.17,21.76,79.2,6.57,725.11,silt,season_a,apple
107.93,76.4,70.53,51.4,18.59,73.5,5.85,921.2,volcanic,season_b,apple
66.56,34.06,104.03,46.19,11.27,63.1,6.71,1013.52,loam,season_b,apple
86.64,59.7,85.33,52.04,20.47,84.9,6.19,1019.03,loam,season_a,apple
142.9,80.96,58.8,65.49,12.03,69.1,5.71,1048.09,silt,season_a,apple
76.89,75.45,71.08,67.26,16.18,77.1,5.24,821.8,silt,season_a,apple
112.79,68.42,82.56,52.37,18.5,56.3,7.01,862.14,loam,season_a,apple
126.25,46.02,135.96,68.05,13.73,58.4,6.48,748.22,silt,season_b,apple
123.54,54.0,70.4,74.38,18.17,75.7,6.66,601.59,loam,season_b,apple
87.21,41.04,111.01,69.99,22.76,73.8,5.48,933.85,loam,season_a,apple
84.62,47.6,144.7,65.87,19.98,79.2,6.14,671.92,volcanic,season_a,apple
100.7,38.96,145.93,56.97,16.1,63.8,6.68,626.64,volcanic,season_b,apple
100.68,58.53,134.12,60.36,21.18,59.8,6.3,820.64,loam,season_b,apple
111.27,72.8,100.55,64.28,21.44,73.6,6.01,919.71,silt,season_b,apple
130.96,62.24,87.04,58.37,16.96,71.5,6.49,722.27,silt,season_a,apple
83.37,61.08,59.79,67.22,12.71,81.2,5.73,841.51,volcanic,season_b,apple
120.77,75.6,114.66,58.25,19.34,62.7,6.02,911.45,loam,season_a,apple
158.37,43.22,99.01,71.53,10.95,79.0,5.3,891.77,loam,season_a,apple
138.89,39.51,110.85,58.34,19.72,80.0,5.52,685.22,silt,season_b,apple
82.62,47.52,89.36,48.6,18.82,72.1,7.03,883.89,volcanic,season_a,apple
139.81,75.34,108.82,63.78,19.92,67.8,5.39,1060.57,volcanic,season_b,apple
115.47,69.07,103.91,61.1,23.24,82.1,6.36,1207.73,volcanic,season_b,apple
141.63,56.0,126.02,61.4,17.91,61.4,6.82,1156.83,silt,season_b,apple
161.53,56.98,88.14,65.65,23.95,72.9,6.29,1205.26,silt,season_b,apple
94.87,43.98,140.98,40.28,21.64,75.7,5.77,888.64,silt,season_a,apple
74.1,57.72,60.38,49.04,22.61,62.5,5.72,706.22,volcanic,season_a,apple
121.96,43.72,51.29,51.19,16.75,69.6,7.11,996.05,volcanic,season_b,apple
68.37,77.76,86.35,67.58,23.07,65.0,7.07,802.7,clay,season_a,maize
14.32,41.05,32.19,49.84,20.51,75.9,6.0,612.51,silt,season_b,beans
65.99,47.89,80.87,39.26,16.99,72.1,5.28,641.93,clay,season_b,cassava
112.64,44.18,32.61,40.48,29.84,71.8,8.54,667.46,loam,season_a,cassava
101.28,44.38,36.52,46.27,25.98,60.7,5.69,1223.79,sandy,season_a,cassava
167.74,46.57,235.52,57.91,24.14,59.7,6.28,813.22,peat,season_a,maize
83.98,88.95,114.02,62.84,13.31,61.3,5.83,636.74,volcanic,season_b,apple
106.85,52.27,42.89,62.54,29.0,62.7,5.17,434.5,peat,season_c,cassava
97.83,11.68,60.38,40.12,35.09,74.8,7.56,307.47,peat,season_b,cassava
186.53,73.9,183.98,47.2,15.6,84.0,5.88,1002.98,clay,season_a,tea
89.13,55.56,22.26,52.96,25.79,64.1,8.54,994.58,sandy,season_a,cassava
164.97,78.14,32.9,59.48,13.83,59.6,7.61,776.69,clay,season_c,sorghum
150.48,64.2,139.41,65.75,21.21,68.5,4.45,1863.47,volcanic,season_c,tea
98.0,71.82,61.37,44.37,24.14,84.3,5.98,955.6,loam,season_b,maize
92.71,79.56,39.58,65.56,22.87,84.2,7.25,1246.91,peat,season_c,maize
56.08,23.01,26.38,56.95,24.61,63.0,6.89,389.38,loam,season_a,chickpea
71.56,76.12,38.92,69.96,16.55,74.5,6.07,602.07,silt,season_a,wheat
9.58,65.24,22.06,45.06,21.75,77.3,7.24,842.04,clay,season_a,maize
227.05,81.13,358.72,66.87,28.98,73.2,6.95,1780.51,silt,season_c,banana
37.21,54.13,20.23,65.35,23.27,66.9,7.26,554.08,volcanic,season_c,cassava
121.3,92.68,84.7,50.75,18.24,63.8,7.71,1041.47,loam,season_b,maize
73.72,60.04,63.11,60.58,22.68,71.4,6.02,722.89,clay,season_a,maize
255.09,36.39,237.0,76.42,28.05,59.9,6.75,693.58,peat,season_b,maize
122.74,53.32,76.77,57.92,23.48,66.4,6.49,848.83,sandy,season_c,cassava
80.94,39.53,131.01,41.35,14.24,76.9,7.25,697.92,loam,season_a,wheat
60.59,35.78,47.62,70.35,23.63,55.2,7.06,505.15,volcanic,season_c,cassava
191.63,65.83,168.42,86.51,21.8,73.9,6.94,894.8,loam,season_a,banana
78.93,31.34,70.62,64.46,21.08,57.6,5.37,1347.69,loam,season_c,cassava
102.06,45.47,94.82,36.06,27.66,72.4,7.8,414.1,sandy,season_b,sorghum
187.22,69.77,62.29,66.45,17.65,80.8,5.53,1238.23,loam,season_c,coffee
148.22,109.51,174.17,47.19,22.4,73.1,6.37,998.9,silt,season_c,potato
117.56,88.51,83.16,44.17,17.9,70.6,6.53,844.6,loam,season_c,maize
82.58,40.73,188.07,48.49,24.01,79.0,6.83,788.11,sandy,season_b,beans
47.78,32.09,37.42,57.54,24.9,70.2,6.12,294.41,peat,season_b,beans
197.81,32.38,217.3,82.7,21.76,69.2,4.98,877.94,loam,season_c,banana
194.6,78.1,367.4,50.82,25.3,71.9,6.63,1495.35,clay,season_a,banana
105.88,72.35,70.24,75.29,21.84,55.9,7.06,977.52,loam,season_c,maize
88.22,71.0,110.36,63.87,22.33,55.9,5.99,847.03,loam,season_b,grapes
203.61,41.28,247.83,50.02,20.71,57.8,6.26,1916.72,volcanic,season_a,banana
166.78,76.7,209.68,49.59,24.32,79.7,6.7,977.24,loam,season_a,maize
33.53,55.76,23.4,40.7,16.43,80.4,7.55,440.98,clay,season_a,beans
48.74,56.17,58.0,32.47,22.89,63.6,6.87,846.41,peat,season_a,cassava
53.92,12.08,80.62,50.61,23.01,65.5,5.6,483.84,peat,season_b,cassava
42.96,56.52,68.74,52.57,19.67,69.1,6.48,452.77,clay,season_a,beans
183.58,82.54,168.64,79.34,19.38,65.7,4.89,1078.4,peat,season_c,tea
84.83,77.42,71.44,68.0,22.72,74.3,6.83,1632.14,loam,season_a,maize
156.62,53.78,123.0,63.45,21.16,81.5,6.15,511.79,silt,season_a,maize
199.79,37.46,119.48,70.19,22.09,67.2,6.25,840.65,volcanic,season_c,sweet_potato
111.43,55.01,66.96,84.23,34.19,66.5,5.91,2423.26,volcanic,season_b,cassava
93.85,44.8,104.05,37.3,29.2,72.2,6.22,753.09,silt,season_b,cassava
62.02,64.69,25.21,28.1,34.38,78.1,6.31,645.89,peat,season_a,beans
153.46,83.23,67.84,64.51,19.9,59.5,6.32,1446.52,volcanic,season_b,maize
116.93,96.19,195.86,83.08,25.16,76.5,6.65,1203.01,volcanic,season_a,banana
110.04,70.3,40.89,72.33,31.74,55.0,6.26,1332.53,clay,season_b,rice
108.12,65.19,114.42,65.12,15.65,68.1,5.63,614.86,loam,season_a,apple
119.37,30.06,78.65,52.35,21.65,57.2,5.01,809.36,silt,season_c,cassava
118.21,77.62,201.86,86.67,22.25,82.9,5.52,1521.19,silt,season_c,tea
100.41,41.9,112.05,60.31,21.99,62.1,6.25,785.8,volcanic,season_c,sweet_potato
159.81,61.8,72.01,66.84,24.19,59.3,6.28,1976.72,sandy,season_b,maize
67.99,50.64,59.43,52.29,31.95,71.2,7.04,731.39,sandy,season_c,cassava
86.03,83.39,96.39,46.43,20.88,84.3,5.81,508.48,peat,season_c,maize
14.74,38.84,25.7,31.36,30.06,79.3,7.02,417.56,clay,season_a,sorghum
68.58,50.0,37.05,34.5,33.02,73.1,8.23,822.06,peat,season_b,sorghum
190.68,34.8,85.65,68.49,16.62,84.5,6.72,1473.83,loam,season_b,banana
67.36,56.55,101.89,42.09,26.37,65.4,6.56,847.16,clay,season_a,sweet_potato
47.95,48.63,75.82,73.25,19.16,75.5,6.21,521.18,volcanic,season_b,maize
113.01,51.73,67.18,79.69,17.04,70.9,6.08,1196.99,volcanic,season_c,coffee
91.85,77.41,71.82,60.53,16.44,75.3,5.69,973.76,loam,season_c,apple
123.11,21.81,50.91,51.95,20.98,70.8,6.2,1157.57,peat,season_b,cassava
25.13,16.5,107.89,56.77,34.78,83.5,6.75,1299.63,clay,season_a,cassava
102.5,75.2,117.04,68.42,12.46,58.3,5.57,702.09,peat,season_a,apple
151.03,71.07,69.65,67.22,13.51,78.4,6.27,391.43,silt,season_b,apple
83.62,34.0,99.52,47.07,22.14,74.4,5.37,890.96,silt,season_a,cassava
115.65,62.41,45.01,36.55,26.03,62.5,6.05,1249.68,loam,season_c,cassava
138.96,46.55,71.52,72.07,18.07,70.5,7.7,668.96,silt,season_b,maize
119.04,31.39,152.32,68.95,16.74,72.0,7.19,748.42,peat,season_b,potato
144.49,80.35,126.97,84.78,23.0,63.7,4.61,1694.13,silt,season_c,tea
185.67,84.4,149.73,47.07,21.22,77.1,4.97,629.03,peat,season_c,potato
89.66,77.92,142.31,66.47,23.83,68.5,6.82,516.67,clay,season_b,maize
81.84,43.39,103.29,53.33,29.34,81.1,6.33,838.85,loam,season_a,sweet_potato
152.15,62.93,95.1,40.38,27.48,58.9,5.56,396.36,sandy,season_a,sweet_potato
248.29,34.88,343.57,53.33,26.37,73.5,5.31,886.16,sandy,season_c,cassava
76.32,70.6,62.64,51.08,23.69,61.4,5.77,463.39,clay,season_a,maize
41.76,32.51,41.06,38.93,30.03,59.0,7.3,1190.36,silt,season_a,cassava
58.91,41.92,35.42,66.56,30.69,67.5,7.39,1124.74,peat,season_a,cassava
142.66,68.67,233.08,69.78,13.51,60.4,5.75,1174.21,peat,season_b,maize
158.31,32.25,248.1,84.66,23.37,80.9,6.76,1359.77,silt,season_c,banana
68.51,37.69,39.79,69.88,22.93,69.9,6.02,948.89,clay,season_c,cassava
140.59,40.46,211.52,76.8,16.74,77.2,6.65,929.95,clay,season_b,banana
124.13,54.56,55.34,37.48,22.86,75.3,6.12,850.86,sandy,season_a,cassava
151.96,52.83,43.91,81.46,25.73,81.7,5.48,2685.85,silt,season_a,rice
155.13,42.38,129.64,64.21,18.11,56.0,5.4,1220.88,clay,season_b,coffee
237.49,43.86,230.75,55.17,29.24,83.6,7.13,1534.99,volcanic,season_a,banana
151.29,43.67,58.47,81.16,17.61,67.8,7.05,1119.0,silt,season_c,maize
130.53,42.18,240.74,75.09,19.55,67.8,5.52,1073.0,peat,season_a,coffee
139.97,74.58,316.72,65.97,20.94,65.8,5.69,2262.19,clay,season_b,maize
143.42,80.62,74.24,40.38,16.35,78.2,7.56,613.67,sandy,season_c,wheat
251.9,35.27,359.98,62.78,18.27,67.8,5.75,2170.85,volcanic,season_c,coffee
100.41,50.54,127.35,53.03,28.9,65.9,5.28,632.58,silt,season_c,cassava
83.24,69.23,33.82,69.04,18.9,84.4,5.75,460.47,silt,season_c,maize
111.87,75.03,74.49,66.83,23.05,67.7,5.29,626.74,silt,season_b,potato
87.42,46.38,68.74,62.26,27.6,66.0,7.37,789.12,clay,season_a,maize
184.26,41.5,373.98,51.72,20.17,58.4,5.49,796.06,loam,season_c,maize
110.39,70.51,84.87,56.56,15.85,77.1,5.72,473.51,clay,season_a,maize
106.1,50.94,116.83,51.25,18.34,75.9,6.99,810.58,sandy,season_c,apple
74.99,34.26,42.62,45.85,27.98,59.5,6.03,970.63,volcanic,season_a,cassava
67.26,54.66,48.33,53.49,18.01,62.1,5.76,432.58,loam,season_b,beans
46.03,51.93,84.3,70.65,21.91,68.5,7.96,1048.45,clay,season_a,maize
211.59,84.64,100.47,89.43,20.53,70.2,5.57,1246.72,sandy,season_c,cassava
101.42,37.67,58.79,40.94,19.56,58.5,5.72,751.15,loam,season_b,sweet_potato
85.92,58.14,166.82,57.5,27.02,63.3,4.96,1399.78,silt,season_c,cassava
84.8,49.5,66.05,73.46,22.88,65.8,5.99,904.27,sandy,season_b,maize
127.67,38.95,139.03,69.7,18.72,81.6,6.3,1240.63,silt,season_b,coffee
18.86,55.02,26.16,42.38,22.63,81.0,7.24,393.84,volcanic,season_b,chickpea
131.99,46.94,41.27,81.14,27.17,82.4,5.6,2465.58,sandy,season_c,rice
248.18,48.71,287.8,68.42,18.19,55.1,5.74,2188.01,peat,season_b,tea
112.84,59.53,70.82,73.31,19.42,63.3,7.32,701.73,peat,season_b,maize
111.83,57.37,82.58,63.39,19.52,70.4,6.29,1198.04,loam,season_c,maize
124.39,78.92,54.73,40.68,21.6,74.1,7.81,395.1,sandy,season_c,sorghum
150.69,41.76,36.64,66.59,17.63,81.2,7.46,794.86,sandy,season_b,maize
